Номер;Название;Адрес;Адрес электронной почты;Адрес сайта;Справочный телефон
1;дорожка беговая-прогулочная;Алтайская улица, дом 4;info@post.gbugol.ru;golyanovo.mos.ru/;(495) 469-82-81
2;дорожка легкоатлетическая;Есенинский бульвар, дом 9, корпус 2;s64@mossport.ru;сдюсшор64.рф;(499) 175-54-12
3;дорожка легкоатлетическая;Преображенская площадь, дом 4;cop@mossport.ru;cop.mossport.ru/;(499) 780-15-82
4;дорожка беговая-прогулочная;аллея Большого Круга, дом 7;izmpark@mail.ru;izmailovsky-park.ru;(499) 166-61-19
5;дорожка беговая-прогулочная;улица Свободы, дом 52;info@mosparks.ru;mosparks.ru/;(495) 640-73-55
6;дорожка легкоатлетическая;Лобненская улица, дом 13А;s70@mossport.ru;dush-70.ru;(495) 483-35-04
7;дорожка беговая-прогулочная;набережная Шитова, дом 2, сооружение 1;1571@edu.mos.ru;vao.mos.ru;(495) 777-28-03
8;дорожка легкоатлетическая;Тенистый проезд, дом 6;radugasviblovo@mail.ru;sviblovo.mos.ru;(499) 181-73-51
9;дорожка легкоатлетическая;город Зеленоград, корпус 2034;gbukrukovo@mail.ru;gbuzelenograd.ru/;(499) 717-75-10
10;дорожка легкоатлетическая;Краснодарская улица, дом 48;l_dez@inbox.ru;lublino.mos.ru;(499) 722-74-75
11;дорожка легкоатлетическая;Бирюлёвская улица, дом 10;sovbr@uao.mos.ru;bv.mos.ru;(499) 218-27-30
12;дорожка легкоатлетическая;город Зеленоград, корпус 1437;krukovo@mos.ru;krukovo.mos.ru;(499) 717-23-95
13;дорожка легкоатлетическая;Волгоградский проспект, дом 170, корпус 1;vh@mos.ru;vyhino-zhulebino.mos.ru;(495) 376-17-49
14;дорожка легкоатлетическая;улица Шверника, дом 17, корпус 2;625@edu.mos.ru;gym625uz.mskobr.ru;(903) 572-72-43
15;дорожка легкоатлетическая;Елецкая улица, дом 31, корпус 2;548@edu.mos.ru;cou548.mskobr.ru;(495) 399-20-00
16;дорожка легкоатлетическая;Перекопская улица, дом 28;sho4@sch15.ru;sch15uz.mskobr.ru;(495) 332-64-22
17;дорожка легкоатлетическая;улица Маршала Тухачевского, дом 58, корпус 2;1517@edu.mos.ru;gym1517sz.mskobr.ru;(499) 720-25-67
18;дорожка легкоатлетическая;Живописная улица, дом 11, корпус 1;1517@edu.mos.ru;gym1517sz.mskobr.ru;(499) 720-25-67
19;дорожка легкоатлетическая;улица Свободы, дом 81, корпус 6;1571@edu.mos.ru;lyc1571sz.mskobr.ru;(495) 495-62-64
20;дорожка легкоатлетическая;Планерная улица, дом 12, корпус 2;1571@edu.mos.ru;lyc1571sz.mskobr.ru;(495) 495-44-30
